,Tweet,Treatment
236,Bad day @ wrk Im behind bc Im out a lot 4 chemo radiation &dealing w pain causd by stage 4 breast cancer so boss sent me a really ugly email,chemotherapy
237,Just found out my ex-wife caught her breast cancer late...had double mastectomy .. doing chemo.. not good when doc says consult ur attorney,chemotherapy
238,"""Yep, when I used to take it I was charged double for one pack of pills. Thought it was outrageous at the time! Ironically I’m now paying nothing for pills which are actually accelerating menopause as part of my breast cancer treatment! #Tamoxifen""",tamoxifen
239,@MenopauseChicks can someone help me please. I'm on Tamoxifen following breast cancer so therefore I cannot take any hormonal drugs but.....,tamoxifen
240,"""After feeding 3 babies mine were like deflated balloons but my breast cancer didn’t show on mammogram. Apparently tamoxifen makes them less dense, waiting to hear if I’ll be offered other imaging at my first checkup.""",tamoxifen
241,"""Uterine wall thickening from tamoxifen.  Treat breast cancer, risk uterine cancer.  A friend of mine was dying of tamoxifen induced uterine cancer at the same time.  """,tamoxifen
242,"""Uterine wall thickening from tamoxifen.  Treat breast cancer, risk uterine cancer.  A friend of mine was dying of tamoxifen induced uterine cancer at the same time.  """,tamoxifen
243,"""tamoxifen + ribociclib showing more than double incidence of QTcF prolongation vs NSAI combo in premenopausal #breastcancer pts  in MonaLEEsa7: 16% Vs. 7%., tamoxifen alone responsible for 7%. pic.twitter.com/wbUla2B41Q""",tamoxifen
244,"""tamoxifen + ribociclib showing more than double incidence of QTcF prolongation vs NSAI combo in premenopausal #breastcancer pts  in MonaLEEsa7: 16% Vs. 7%., tamoxifen alone responsible for 7%. pic.twitter.com/wbUla2B41Q""",tamoxifen
245,"""Given that cancer was most likely circulating on my IIIc diagnosis, I was most happy to have both. Also happy to have radiation to mop up breast and axilla areas. And lucky that Tamoxifen is side-effect free. Ecstatic to be five years in remission. #bcsm""",tamoxifen
246,@SenWarren @SenMarkey @sethmoulton I had breast cancer 2 yrs ago had dbl mastectomy and on Tamoxifen. Could my premiums go way up?,tamoxifen
247,"""So no Tamoxifen or screenings for this breast cancer survivor then, eh? #AHCA = @GOP death panels for thousands. #filibuster!""",tamoxifen
248,"""Hugs! I come from a family of breast cancer survivors. Back in the day, tamoxifen and support got me through, going on 20 years now. My mom died of congestive heart failure at 86, having been a 26-year breast cancer survivor. My sister is past 20 years. You can do it!""",tamoxifen
249,A friend of mine did get cancer because of taking HRT for too many years. She survived her breast cancer only to die from a pulmonary embolism caused by the tamoxifen she had to take from then on. I was denied HRT because of my history of cancer - not even hormone related.,tamoxifen
250,Any of my breast cancer warriors taking Effexor to help with hot flashes from tamoxifen? I’m taking it and not liking it ,tamoxifen
251,"""Wow, now my whole Tamoxifen estrogen blocker treatment for hormone positive breast cancer is questionable. Twitter science!""",tamoxifen
252,⁦@MeganKruseMD⁩ BCI can be a potential tool in selecting patients for extended adjuvant endocrine therapy - tamoxifen - #breastcancer @CleClinicMD⁩ #clecliniccancer ⁦@caseccc⁩pic.twitter.com/FyrHvEHos7,neoadjuvant
253,⁦@MeganKruseMD⁩ BCI can be a potential tool in selecting patients for extended adjuvant endocrine therapy - tamoxifen - #breastcancer @CleClinicMD⁩ #clecliniccancer ⁦@caseccc⁩pic.twitter.com/FyrHvEHos7,monotherapy
254,⁦@MeganKruseMD⁩ BCI can be a potential tool in selecting patients for extended adjuvant endocrine therapy - tamoxifen - #breastcancer @CleClinicMD⁩ #clecliniccancer ⁦@caseccc⁩pic.twitter.com/FyrHvEHos7,tamoxifen
255,After 12 Months of Horrendous Side Effects From Tamoxifen! I’ve Now Been Given These To Try  #breastcancer #Letrozole #Hormonetreatment #nreastcancersuckspic.twitter.com/5nZmww3ijQ,tamoxifen
256,$ATOS Endoxifen is an active metabolite of tamoxifen. Tamoxifen is an FDA-approved drug to prevent new breast cancer as well as recurrent breast cancer in breast cancer patients. #breastcancer #cancerresearch Don't sleep on this company.,tamoxifen
257,$ATOS Endoxifen is an active metabolite of tamoxifen. Tamoxifen is an FDA-approved drug to prevent new breast cancer as well as recurrent breast cancer in breast cancer patients. #breastcancer #cancerresearch Don't sleep on this company.,tamoxifen
258,@MelDMann Hey folks. Stage 3 breast cancer survivor here .Diagnosed in December 2012. Bilateral mastectomy and node removal under right arm.On Tamoxifen for 10 years. 5 years free now . Lots of nerve pain but happy to be alive,tamoxifen
259,#breastcancer trial wt #pyrotinib + Capecitabine vs Capecitabine presented at #ASCO19 has been designed in the unique regulator environment of #China :it's relevant as dealing with a LMIC-oriented research question. Great choice of @ASCO to acknowledge it on such a great stage!,capecitabine
260,#breastcancer trial wt #pyrotinib + Capecitabine vs Capecitabine presented at #ASCO19 has been designed in the unique regulator environment of #China :it's relevant as dealing with a LMIC-oriented research question. Great choice of @ASCO to acknowledge it on such a great stage!,capecitabine
261,#breastcancer trial wt #pyrotinib + Capecitabine vs Capecitabine presented at #ASCO19 has been designed in the unique regulator environment of #China :it's relevant as dealing with a LMIC-oriented research question. Great choice of @ASCO to acknowledge it on such a great stage!,asco15
262,#breastcancer trial wt #pyrotinib + Capecitabine vs Capecitabine presented at #ASCO19 has been designed in the unique regulator environment of #China :it's relevant as dealing with a LMIC-oriented research question. Great choice of @ASCO to acknowledge it on such a great stage!,asco16
263,"""young-PEARL Palbociclib + Exe + GNRH agonist vs Capecitabine in premenopausal LABC or metastatic HR+HER2- BC, Randomized Phase II study#ASCO19 #bcsm #breastcancer #biomarkers #medonc #PrecisionMedicine #clinicaltrialspic.twitter.com/5aBI7CMikl""",capecitabine
264,"""Yes, I take tamoxifen daily. Already had a hysterectomy a year before I got breast cancer but I've still got my ovaries. Argued I wanted them out but they said chemo would put me into menopause. Recent bloods say I'm not!!""",tamoxifen
265,"""Yes, I take tamoxifen daily. Already had a hysterectomy a year before I got breast cancer but I've still got my ovaries. Argued I wanted them out but they said chemo would put me into menopause. Recent bloods say I'm not!!""",novartis
266,"""Yes, I take tamoxifen daily. Already had a hysterectomy a year before I got breast cancer but I've still got my ovaries. Argued I wanted them out but they said chemo would put me into menopause. Recent bloods say I'm not!!""",chemotherapy
267,"""Have any of your followers had issues with the drug Letrozole? When my breast cancer returned last year, I was switched from Tamoxifen to Letrozole. I have severe pains in my joints, especially my hands. I wear splints at night to keep my fingers straight. Kicked cancer, though.""",letrozole
268,"""Have any of your followers had issues with the drug Letrozole? When my breast cancer returned last year, I was switched from Tamoxifen to Letrozole. I have severe pains in my joints, especially my hands. I wear splints at night to keep my fingers straight. Kicked cancer, though.""",tamoxifen
269,"""Have any of your followers had issues with the drug Letrozole? When my breast cancer returned last year, I was switched from Tamoxifen to Letrozole. I have severe pains in my joints, especially my hands. I wear splints at night to keep my fingers straight. Kicked cancer, though.""",letrozole
270,"""Yes has helped me recover from breast cancer , helps with the side effects of tamoxifen and Zoladex . London 100 in a couple of weeks  """,tamoxifen
271,"""Yes has helped me recover from breast cancer , helps with the side effects of tamoxifen and Zoladex . London 100 in a couple of weeks  """,zoladex
272,"""Five years ago, after treatment for breast cancer, I was fine as far as ED went, even on Tamoxifen. Three years ago a prostage cancer diagnosis led to a prostatectomy and subsequent ED. The (un)helpful advice from my urologist: """"let's do a penile implant"""". No thanks, I'll get by.""",tamoxifen
273,After 30 years of treating breast cancer I want the last quarter of my career to focus on prevention- where I started with the tamoxifen prevention IBISI trial. #breastdensity gives us unique insight prevention options #reducebreastdensity,stearate
274,After 30 years of treating breast cancer I want the last quarter of my career to focus on prevention- where I started with the tamoxifen prevention IBISI trial. #breastdensity gives us unique insight prevention options #reducebreastdensity,tamoxifen
275,"""Journalist looking to interview high-risk women taking chemoprevention (Tamoxifen, etc.) to prevent #breastcancer .  @FacingOurRisk""",tamoxifen
276,"""#selfcare daily, as a breast cancer survivor on tamoxifen #crazyestrogenmodulator, I make myselfcare a priority daily cause if I don’t my poor husband and the rest of the world wouldn’t know how to deal with me#Crazy, do more of what makes you happy""",tamoxifen
277,"""Today we have @BryanWelm in our office talking about his research but also showing us his amazing #sciart, including a metal, interactive sculpture of an estrogen receptor and how it can bind to Tamoxifen, a breast cancer drug! #scicomm #PrecisionMedicinepic.twitter.com/MV2JjL5cO9""",tamoxifen
278,"""I'm being forced to live, said the breast cancer patient, """"with an imploding Obamacare that's covering my tamoxifen. It's bullshit!""""""",tamoxifen
279,"""Ok #breastcancer warriors.  Thoughts on #tamoxifen ?  I know i will live longer if i continue to take it, but the side effects are super sucky. Do i tough it out? Change meds? Or take meds to start early menopause & continue Tamoxifen?""",stearate
280,"""Ok #breastcancer warriors.  Thoughts on #tamoxifen ?  I know i will live longer if i continue to take it, but the side effects are super sucky. Do i tough it out? Change meds? Or take meds to start early menopause & continue Tamoxifen?""",tamoxifen
281,"""My wife had breast cancer last year, after her radiation, they suggested Tamoxifen for 5 years, which is dangerous to a fetus. She was sent to a fertility doctor who told us that after 30, her probability of having children goes down exponentially, and we should freeze her eggs.""",tamoxifen
282,"""Totally agree! @drbethdupree runs an amazing survivorship course and there are many new options. Also studies currently looking at topical Tamoxifen, low dose Tam, and ultralowrisk subgroups that don’t benefit from endocrine Rx. #survivorship #breastcancer #AI #timetodobetter""",tamoxifen
283,"""Treating menopausal symptoms in breast cancer patients whether they on tamoxifen or not , still doctors from all over world who follow rcog guideline, found difficulties in treating those women ,TOG article talked about it, but precisely , i hope the college get it some attention""",tamoxifen
284,"""I knew this would be tamoxifen before i even read the article, much higher chance of blood clots as well with this tablet. Also, it isnt licenced under the NICE guidelines to be given as a breast cancer prevention drug either so doctors are reluctant to prescribe it.""",tamoxifen
285,"""Seriously? I gave up drinking when I started taking Tamoxifen to reduce my risk of getting breast cancer 2 years ago! On the plus side, the money I saved on Prosecco has been well spent on food """,stearate
286,"""I saved my own life, too, after stage 3 breast cancer treatment ended, I went on tamoxifen, and something felt wrong in my lower belly. I was sent to therapy and told I was hysterical but no. Uterine cancer - a known side effect of tamoxifen. Just remember you are STILL YOU.""",tamoxifen
287,"""I saved my own life, too, after stage 3 breast cancer treatment ended, I went on tamoxifen, and something felt wrong in my lower belly. I was sent to therapy and told I was hysterical but no. Uterine cancer - a known side effect of tamoxifen. Just remember you are STILL YOU.""",monotherapy
288,"""I saved my own life, too, after stage 3 breast cancer treatment ended, I went on tamoxifen, and something felt wrong in my lower belly. I was sent to therapy and told I was hysterical but no. Uterine cancer - a known side effect of tamoxifen. Just remember you are STILL YOU.""",tamoxifen
289,"""So today Jo finished cycle 3’s two weeks of capecitabine. Feet and hands have been pretty good, generally it’s gone well. Now though the fatigue has kicked in, she feels wasted today.  #cancer #tnbc #breastcancer #chemotherapy""",capecitabine
290,"""So today Jo finished cycle 3’s two weeks of capecitabine. Feet and hands have been pretty good, generally it’s gone well. Now though the fatigue has kicked in, she feels wasted today.  #cancer #tnbc #breastcancer #chemotherapy""",chemotherapy
291,Congratulations!  This is my daughters last couple of months of Tamoxifen. 5 year breast cancer survivor. The very best of health to all of you!,tamoxifen
292,"""I took zoladex for a few months last winter, but have been on just tamoxifen since January. I've never had anything like this before though,  apart from swelling during egg retrieval before I started my breast cancer treatment  pic.twitter.com/N2aPRVqX6J""",zoladex
293,"""I took zoladex for a few months last winter, but have been on just tamoxifen since January. I've never had anything like this before though,  apart from swelling during egg retrieval before I started my breast cancer treatment  pic.twitter.com/N2aPRVqX6J""",tamoxifen
294,"""I took zoladex for a few months last winter, but have been on just tamoxifen since January. I've never had anything like this before though,  apart from swelling during egg retrieval before I started my breast cancer treatment  pic.twitter.com/N2aPRVqX6J""",stearate
295,"""I spoke to my pharmacist about this yesterday. She agrees this is very alarming. Drug shortages are not uncommon (sadly), the normal protocol is to substitute a similar drug. Here’s problem: #tamoxifen has no analog. The other AIs used for #breastcancer treatment aren’t the same.""",biosimilars
296,"""Advice needed for strengthening nails one year post chemo (EC & Taxol) & having been on Tamoxifen for a year? I know it’s small in the grand scheme of things, but they are so soft, brittle, short and painful when they crack and break at this length. #chemo #breastcancer #nails""",chemotherapy
297,"""Advice needed for strengthening nails one year post chemo (EC & Taxol) & having been on Tamoxifen for a year? I know it’s small in the grand scheme of things, but they are so soft, brittle, short and painful when they crack and break at this length. #chemo #breastcancer #nails""",taxol
298,"""Advice needed for strengthening nails one year post chemo (EC & Taxol) & having been on Tamoxifen for a year? I know it’s small in the grand scheme of things, but they are so soft, brittle, short and painful when they crack and break at this length. #chemo #breastcancer #nails""",tamoxifen
299,"""I bet that’s so scary :( mom will be 5 yrs clear next spring! We’re so excited!! She still gets a lot of testing & she’s on tamoxifen for 10 yrs, but so far so good. She wants to get a breast cancer survivor tattoo but she’s scared if she gets it before 5 yrs she’ll jinx herself!""",tamoxifen
300,A hereditary genetic mutation gave me breast cancer at 44. My mom & grandma also have this mutation. Both had early onset cancer at the same age as me. I have to tk Tamoxifen for 10 yrs. Has created a whole host of new health problems like fatty liver & debilitating joint pain.,tamoxifen
301,"""After hearing the side effects of tamoxifen, I’m starting to think maybe I don’t want to do it and go the other route of shots every month and some other pill. #breastcancer #multifocal""",tamoxifen
302,"""Stage 3 breast cancer survivor - mastectomy, chemo, radiation, 5 years tamoxifen, reconstructive surgery, hysterectomy - & a kidney transplant recipient. My only expense was parking at hospital(s). You do not know of what you speak, Doc. In USA I would be bankrupt.""",chemotherapy
303,"""Stage 3 breast cancer survivor - mastectomy, chemo, radiation, 5 years tamoxifen, reconstructive surgery, hysterectomy - & a kidney transplant recipient. My only expense was parking at hospital(s). You do not know of what you speak, Doc. In USA I would be bankrupt.""",tamoxifen
304,@BBCWomansHour Having had tamoxifen in my 40s for breast cancer I’ve been thrown into early menopause x100 ... I’ve preferred the symptoms of the menopause than PMT that I used to have... what I object to is this bloody scaremongering about us not living well after menopause....,tamoxifen
305,"""I'm supposed to start taking Tamoxifen this week for 10 years, which is supposed to significantly reduce my risk of #breastcancer recurrence. I keep hearing horror stories about it, which is giving me anxiety.  Prayers appreciated. #cancersucks""",stearate
306,"""N - Nolvadex (Tamoxifen) is a selective estrogen receptor modulator that is occasionally used by prostate cancer patients on estrogenic ADT agents to treat or prevent breast events (gynecomastia/mastalgia). From my review, only <5% of patients withdrew from tamoxifen. #AtoZADTpic.twitter.com/krtXaDzNm6""",nolva
307,"""N - Nolvadex (Tamoxifen) is a selective estrogen receptor modulator that is occasionally used by prostate cancer patients on estrogenic ADT agents to treat or prevent breast events (gynecomastia/mastalgia). From my review, only <5% of patients withdrew from tamoxifen. #AtoZADTpic.twitter.com/krtXaDzNm6""",zoladex
308,"""N - Nolvadex (Tamoxifen) is a selective estrogen receptor modulator that is occasionally used by prostate cancer patients on estrogenic ADT agents to treat or prevent breast events (gynecomastia/mastalgia). From my review, only <5% of patients withdrew from tamoxifen. #AtoZADTpic.twitter.com/krtXaDzNm6""",tamoxifen
309,"""N - Nolvadex (Tamoxifen) is a selective estrogen receptor modulator that is occasionally used by prostate cancer patients on estrogenic ADT agents to treat or prevent breast events (gynecomastia/mastalgia). From my review, only <5% of patients withdrew from tamoxifen. #AtoZADTpic.twitter.com/krtXaDzNm6""",tamoxifen
310,"""This sucks.  I just had breast reduction surgery to remove my cancer tumour as well as lymph nodes.  Zero cost to me in NZ.  My upcoming chemo, radiation therapy and tamoxifen will be free as well.  I hope you get universal health care soon.""",chemotherapy
311,"""This sucks.  I just had breast reduction surgery to remove my cancer tumour as well as lymph nodes.  Zero cost to me in NZ.  My upcoming chemo, radiation therapy and tamoxifen will be free as well.  I hope you get universal health care soon.""",monotherapy
312,"""This sucks.  I just had breast reduction surgery to remove my cancer tumour as well as lymph nodes.  Zero cost to me in NZ.  My upcoming chemo, radiation therapy and tamoxifen will be free as well.  I hope you get universal health care soon.""",tamoxifen
313,"""Aromatase inhibitors increasing for post-menopausal women rather than tamoxifen = reduces endometrial cancer risks (3% don’t tolerate through bad joints, plus can reduce bone density + menopausal- why everyone is not on it! #breastcancer  1/8 women, 1/1000 men. @wearepreventBC""",tamoxifen
314,4 weeks since treatment finished! Tamoxifen for the next 10 years &I feel a bit lost/out of sorts .....Back to work part time on Thursday so hopefully this will be the start of getting back to “NORMAL” #fuckcancer #breastcancer I kicked your ass!! ,tamoxifen
315,4 weeks since treatment finished! Tamoxifen for the next 10 years &I feel a bit lost/out of sorts .....Back to work part time on Thursday so hopefully this will be the start of getting back to “NORMAL” #fuckcancer #breastcancer I kicked your ass!! ,stearate
316,About to switch my daily tablet from Tamoxifen to Exemestane feeling nervous about the new side effects and increased joint pain. I’ll be on these for 10 years. #breastcancer @bccww @YBCN_UKpic.twitter.com/De50xJjwnQ,tamoxifen
317,About to switch my daily tablet from Tamoxifen to Exemestane feeling nervous about the new side effects and increased joint pain. I’ll be on these for 10 years. #breastcancer @bccww @YBCN_UKpic.twitter.com/De50xJjwnQ,exemestane 
318,"""Yes to this. I’m on a drug holiday from Tamoxifen and I feel great. Once I resume I’ll be back to fatigue, depression, joint pain and nausea. 6 months down, 4.5 years to go! #breastcancer #survivor #Tamoxifen #bcsm""",tamoxifen
319,"""Research Advocates connect our research community w/ patients & raise important qs to help further live-saving research & develop effective #breastcancer treatments, like Tamoxifen. - Krissa Smith, Director of Research Programs at Susan G. Komen. #YourVoice #KomenAdvocacypic.twitter.com/70i4kBmzAG""",chemotherapy
320,"""Research Advocates connect our research community w/ patients & raise important qs to help further live-saving research & develop effective #breastcancer treatments, like Tamoxifen. - Krissa Smith, Director of Research Programs at Susan G. Komen. #YourVoice #KomenAdvocacypic.twitter.com/70i4kBmzAG""",tamoxifen
321,"""Omg I get these and call them my witch hairs. The good thing is the two or three I have always come back in the same spot so I know to look out. I have to take tamoxifen cause I'm a breast cancer survivor though and it caused a new one tho, this looooooong""",tamoxifen
322,Captivating talk by @DrZoeMoon on developing and testing a tamoxifen #adherence intervention in #breastcancer survivors #EHPS2019 #teamkclpic.twitter.com/itZGKmek1A,tamoxifen
323,"""A2 (2/3): Some drugs, such as tamoxifen, work by preventing the hormone estrogen from attaching to its receptor and thereby prevent estrogen from fueling the growth & survival of HR+. #breastcancer #EndoChat""",tamoxifen
324,"""A2: People at high risk of developing breast cancer can take drugs that target the estrogen/estrogen receptor system, such as tamoxifen and letrozole, to lower their risk of developing. #breastcancer #EndoChat""",tamoxifen
325,"""A2: People at high risk of developing breast cancer can take drugs that target the estrogen/estrogen receptor system, such as tamoxifen and letrozole, to lower their risk of developing. #breastcancer #EndoChat""",letrozole
326,"""Great piece of writing, I was given the blank stare from on oncologist/nurses when I mentioned my lost of libido from breast cancer drugs , hope my orgasms go back to normal when I finish tamoxifen/Zoladex in 4 years """,stearate
327,"""Great piece of writing, I was given the blank stare from on oncologist/nurses when I mentioned my lost of libido from breast cancer drugs , hope my orgasms go back to normal when I finish tamoxifen/Zoladex in 4 years """,tamoxifen
328,"""Great piece of writing, I was given the blank stare from on oncologist/nurses when I mentioned my lost of libido from breast cancer drugs , hope my orgasms go back to normal when I finish tamoxifen/Zoladex in 4 years """,zoladex
329,"""Chatting to my cousin’s friend,  finished breast cancer  treatment very recently.  Now on tamoxifen.  She had onco type & avoided chemo.  Amazingly it was automatic!""",tamoxifen
330,"""Chatting to my cousin’s friend,  finished breast cancer  treatment very recently.  Now on tamoxifen.  She had onco type & avoided chemo.  Amazingly it was automatic!""",chemotherapy
331,#PCT #breastcancer #postmenopausal #hormonetreatment Letrozole (Femara) is a drug prescribed for the treatment of postmenopausal women with hormone receptive positive early breast cancer or who have been treated with tamoxifen pic.twitter.com/cEe1CxvxDN,letrozole
332,#PCT #breastcancer #postmenopausal #hormonetreatment Letrozole (Femara) is a drug prescribed for the treatment of postmenopausal women with hormone receptive positive early breast cancer or who have been treated with tamoxifen pic.twitter.com/cEe1CxvxDN,femara
333,#PCT #breastcancer #postmenopausal #hormonetreatment Letrozole (Femara) is a drug prescribed for the treatment of postmenopausal women with hormone receptive positive early breast cancer or who have been treated with tamoxifen pic.twitter.com/cEe1CxvxDN,tamoxifen
334,"b""@AniaHaie my mum birthday is on mother's day she's brave and stromg battling breast cancer and being my rock on my low days battling mental health she's my best friend \xf0\x9f\x92\x96x""",arave
335,b'@ThelmaChen Hang in there Bob. I'm in a similar situation. My wife is currently taking chemo treatments for breast cancer so we ain't goin' nowhere either. I feel your pain. Happy Birthday from a complete stranger!! Next year it will be better!',biosimilars
336,b'@ThelmaChen Hang in there Bob. I'm in a similar situation. My wife is currently taking chemo treatments for breast cancer so we ain't goin' nowhere either. I feel your pain. Happy Birthday from a complete stranger!! Next year it will be better!',chemotherapy
337,b'@ThelmaChen Hang in there Bob. I'm in a similar situation. My wife is currently taking chemo treatments for breast cancer so we ain't goin' nowhere either. I feel your pain. Happy Birthday from a complete stranger!! Next year it will be better!',chemotherapy
338,b'@JeffreeStar I have breast cancer and a mother of 3. Just got laid off work last week and my chemotherapy got pushed till further notice due to the virus $Mamalama03 #JeffreeStarApproved \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',chemotherapy
339,"b'@DrStager That seems to be typical. We actually don't have any in my office. My wife works as an RN in outpatient Ob, so she brought me one. She's immunosuppressed from metastatic breast cancer therapy so I'm doing my best to stay healthy.'",monotherapy
340,b'@JeffreeStar  I am a single mom of two girls I currently was diagnosed with breast cancer and had a double bilateral mastectomy in January I start chemo next week so with all that's going on I'm not going to be able to leave my house much let alone work.\nLove you and all you do.',stearate
341,b'@JeffreeStar  I am a single mom of two girls I currently was diagnosed with breast cancer and had a double bilateral mastectomy in January I start chemo next week so with all that's going on I'm not going to be able to leave my house much let alone work.\nLove you and all you do.',chemotherapy
342,"b'Dear @GovBillLee: I am a wife and a mother and I love my family very much. I have metastatic breast cancer and am in active chemotherapy. Please, please consider shelter in place to keep myself and my family and so many others as safe as humanly possible during this time.'",chemotherapy
343,"b'Namjoon wearing a t-shirt for korea\'s breast cancer awareness reminds me of the time when he used a recycled/eco friendly backpack from ""continew"" and showed his support in their social and environmental efforts\n\nTruly an #IdolwithNotion\n\n#RM #Namjoon'",regimins
344,"b""@JeffreeStar I'm a 36 year old mother of 2 autistic kids. I was just diagnosed with breast cancer 2 days ago. I will be having a double mastectomy in 3 weeks and be starting chemo shortly after. On top of this my husband and I are both out of work until the corona stuff is over.""",chemotherapy
345,"b""@nomore57960848 @realDonaldTrump My sister finished chemo &amp; radiation for breast cancer last year. I have Crohn's &amp; on immuno suppressants. My mom is 83 in frail health &amp; her partner is 82.\nTrump's negligence could kill my entire family! He's a narcissistic sociopath whose single handedly is destroying the US.""",chemotherapy
346,"b""@mama_senior Being a breast cancer survivor, I know ur very strong!My mom beat it twice, once in '01 &amp; she got it again in '12. We live in the South &amp; my parents live in Ohio. My step dad is going through chemo right now at the Cleveland Clinic.I'm petrified that we may never see them again\xf0\x9f\xa5\xba""",chemotherapy
347,"b'@tania_leonora @AdrianaStan @Bewitched_Fans Thankfully, you BOTH sound very strong and resilient ! Yes, the lungs are what we must try to avoid with all that is in us! I have asthma and had breast cancer a few years ago and chemo compromised my immune system\xe2\x80\x94 and I'm OLD!\xf0\x9f\x98\xb3 hahaha'",chemotherapy
348,b'@HumanityForward Thank you for trying to make this country better and stronger. I was diagnosed with breast cancer in May. I've finished chemo and am currently recovering from my 6th surgery. Still not back to work and my husband just lost his job yesterday. Trying to stay positive!',chemotherapy
349,"b'@jidesanwoolu Your excellency sir, I have a critical health case at hand which happened to be my mum. She is a stage 5 breast cancer patient. \nWe were being rejected for the government hospital due to their non challant attitude.\n Right now, we nurse her at home.'",calan
350,b'@JeffreeStar My single mother of two had breast cancer in 2016 and due to the rounds of cemo her immune system isn't too great. She is stil currently working in the hospital putting herself at risk cuz she can't afford to miss a day help me make her day $haley2453.',chemotherapy
351,"b""@PhadingDark Doing pretty well, just trying to keep mom safe really. She's been on chemo for breast cancer and has to have a inhaler for breathing problems so if she gets it we're sure it would be extremely bad so we've been sterilizing everything, I'm even distilling my own ethanol LOL\xf0\x9f\x98\xb7\xf0\x9f\x98\x8b""",chemotherapy
352,"b""@meralee727 I think about how well stocked the cupboards would be at my house if my mom was still alive. (I now live in her house.) I'm 'also kinda glad she's not, since she had breast &amp; bone cancer the last 7yrs of her life. Going for treatments during this would be horrible &amp; scary. \xf0\x9f\x98\xa2""",chemotherapy
353,"@Therese_Rein Some of us have nothing to lose in that respect (apart from our parents and loved ones with lymphoma, breast cancer etc)",lymphoma
354,b'@bullyromeo @BrandonBeckham_ @DeptVetAffairs @realDonaldTrump @POTUS Show me state? Lol misery Missouri?. No.  Are you self quarantine? I am. See I have high BP copd and doing chemo for stage 3 breast cancer so I have a reason to pay attention. So I am smart enough and my very life is on the line. The stats mean zero to me. I am far from stupid',stearate
355,b'@bullyromeo @BrandonBeckham_ @DeptVetAffairs @realDonaldTrump @POTUS Show me state? Lol misery Missouri?. No.  Are you self quarantine? I am. See I have high BP copd and doing chemo for stage 3 breast cancer so I have a reason to pay attention. So I am smart enough and my very life is on the line. The stats mean zero to me. I am far from stupid',chemotherapy
356,"b""Big shout out to BCBS NJ DIRECT for denying the MRI of my abdomen to see if the 3nodules in my gut are from the breast cancer that I can't get surgery on because trump allowed our lives to be put in jeopardy for his financial benefits and fear of losing in Nov. &amp;going to jail.""",femara
357,b'@BolanleCole Naso 1 aunty talk say breast cancer no fit kill ham!!! Say jesus go keep her alive and she no allow medical attention the just sister died after jesus refuse to pick her call....central mosque in my area was locked I had to observe my solat from home...no dey tempt God',aredia
358,b'#Marr I have metastatic breast cancer and asthma and am taking Targeted therapy but doing well. I want to isolate with my elderly parents who also have underlying conditions and are less able . Is that a good idea?',monotherapy
359,"b'@lillydancyger Watching a report by Kristen Dahlgren on NBC. She has had to postpone her breast cancer treatment. Many have had to delay life saving treatments and screenings,including mammograms. I am a two year breast cancer survivor and just had my mammogram last week. Truly hit home.'",chemotherapy
360,"b'Mothering Sunday: 20 years ago, I finally started to grieve for the death of my mum 6 months prior to that. I was too busy fighting breast cancer to have been able to appreciate her loss before then.\n\nPlease, make the most of your mum you never know when she's gone #PhoneYourMum'",stearate
361,"b""@TimSmallbone Wife breast cancer twice, me thyroid cancer, dad non hodgkin's lymphoma......all beat it and still here.  Stay strong and positive blue \xf0\x9f\x91\x8d\xf0\x9f\x91\x8d""",lymphoma
362,"b""@Kynan383 @krimsuu so it's people's own fault now that they have some chronical disease they were born with? n1 kynan, never change.\nsorry that my mom got breast cancer out of the blue and had to get chemo which makes her more vulnerable than others.""",chemotherapy
363,b'@JeffreeStar My single mother of two had breast cancer and due to the rounds of chemo she has a weak immune system. She is still working in the hospital risking her health if you could help me suprise her $haley2453',chemotherapy
364,"b'I am not getting a paid leave of absence right now. When I go back to work in a week, I will still have the fear of carrying back home to my breast cancer survived-asthma induced-63 yr old mom. I need benefits or a closed environment to work in. I'm fine with either. Please.'",femara
365,"b""@Inevitable_ET Oh wow, there was a lady yesterday that said in a tweet that her surgery for breast cancer was cancelled, i hoped this was the reason but didn't want to give her false hope!! \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f""",injectables
366,b'@YORKIE007 @TheWhittards Yes my daughter in law has breast cancer her operation has been cancelled along with radiotherapy until further notice whilst the doctors are dealing with this crisis. \xf0\x9f\x99\x81 So hard for her she has 2 young children.',chemotherapy
367,"b'@lauralexx Yes please, I've just started running and signed up for half marathon in October for @BreastCancerNow. I'm on lockdown as I have secondary breast cancer and my treatment lowers my immune system! I need all the motivation I can get xx'",stearate
368,b'I'm supposed to go on an adult-Make-a-Wish-style trip with my mom in two weeks to Florida through a breast cancer charity... and they haven't cancelled it yet?',halaven
369,"b""@ProfKarolSikora I've had my radiotherapy for breast cancer reduced to 5 sessions. The reasons according to my Radiologist &amp; Oncologist are to reduced time in hospital reducing potential exposure to the virus , concerns about lack of staff due to sickness and most importantly to share sessions.""",chemotherapy
